Insee - Statistiques locales; ; ; 
Référentiel géographique : France par commune; ; ; 
Code;Nom;Population municipale 2021;Médecin généraliste (en nombre) 2021
1252;Mogneneins;803;0
1254;Montagnat;2145;2
1255;Montagnieu;666;0
1257;Montanges;350;0
1258;Montceaux;1198;0
1259;Montcet;704;0
1260;Le Montellier;319;0
1261;Monthieux;682;0
1262;Montluel;6838;1
1263;Montmerle-sur-Saône;3792;4
1264;Montracol;1008;0
1265;Montréal-la-Cluse;3541;2
1266;Montrevel-en-Bresse;2578;4
1267;Nurieux-Volognat;990;0
1268;Murs-et-Gélignieux;240;0
1269;Nantua;3449;3
1272;Neuville-les-Dames;1515;2
1273;Neuville-sur-Ain;1799;0
1274;Les Neyrolles;632;0
1275;Neyron;2538;1
1276;Niévroz;1634;0
1277;Nivollet-Montgriffon;115;0
1279;Oncieu;73;0
1280;Ordonnaz;141;0
1281;Ornex;4690;2
1282;Outriaz;255;0
1283;Oyonnax;22277;15
1284;Ozan;725;0
1285;Parcieux;1319;0
1286;Parves et Nattages;955;0
1288;Péron;2838;1
1289;Péronnas;6448;3
1290;Pérouges;1346;0
1291;Perrex;852;0
1293;Peyriat;148;0
1294;Peyrieu;908;0
1295;Peyzieux-sur-Saône;666;0
1296;Pirajoux;407;0
1297;Pizay;914;0
1298;Plagne;161;0
1299;Le Plantay;579;0
1301;Polliat;2648;3
1302;Pollieu;168;0
1303;Poncin;1729;3
1304;Pont-d'Ain;2871;6
1305;Pont-de-Vaux;2189;3
1306;Pont-de-Veyle;1629;4
1307;Port;843;0
1308;Pougny;796;0
1309;Pouillat;81;0
1310;Prémeyzel;247;0
1311;Prémillieu;44;0
1313;Prévessin-Moëns;9063;1
1314;Priay;1764;3
1317;Ramasse;331;0
1318;Rancé;741;0
1319;Relevant;467;0
1320;Replonges;3899;3
1321;Revonnas;896;0
1322;Reyrieux;5098;6
1323;Reyssouze;1010;0
1325;Rignieux-le-Franc;1098;0
1328;Romans;617;0
1329;Rossillon;160;0
1330;Ruffieu;177;0
1331;Saint-Alban;192;0
1332;Saint-André-de-Bâgé;809;0
1333;Saint-André-de-Corcy;3368;3
1334;Saint-André-d'Huiriat;675;0
1335;Saint-André-le-Bouchoux;418;0
1336;Saint-André-sur-Vieux-Jonc;1211;0
1337;Saint-Bénigne;1343;0
1338;Groslée-Saint-Benoit;1238;0
1339;Saint-Bernard;1497;0
1342;Sainte-Croix;547;0
1343;Saint-Cyr-sur-Menthon;1844;2
1344;Saint-Denis-lès-Bourg;6063;5
1345;Saint-Denis-en-Bugey;2240;1
1346;Saint-Didier-d'Aussiat;850;0
1347;Saint-Didier-de-Formans;2141;0
1348;Saint-Didier-sur-Chalaronne;3052;2
1349;Saint-Éloi;524;0
1350;Saint-Étienne-du-Bois;2553;3
1351;Saint-Étienne-sur-Chalaronne;1613;0
1352;Saint-Étienne-sur-Reyssouze;581;0
1353;Sainte-Euphémie;1730;0
1354;Saint-Genis-Pouilly;14558;8
1355;Saint-Genis-sur-Menthon;486;0
1356;Saint-Georges-sur-Renon;199;0
1357;Saint-Germain-de-Joux;505;0
1358;Saint-Germain-les-Paroisses;425;0
1359;Saint-Germain-sur-Renon;257;0
1360;Saint-Jean-de-Gonville;1988;2
1361;Saint-Jean-de-Niost;1826;0
1362;Saint-Jean-de-Thurigneux;829;0
1363;Saint-Jean-le-Vieux;1786;1
1364;Saint-Jean-sur-Reyssouze;767;0
1365;Saint-Jean-sur-Veyle;1159;0
1366;Sainte-Julie;1090;0
1367;Saint-Julien-sur-Reyssouze;707;0
1368;Saint-Julien-sur-Veyle;848;0
1369;Saint-Just;954;0
1370;Saint-Laurent-sur-Saône;1659;1
1371;Saint-Marcel;1261;0
1372;Saint-Martin-de-Bavel;436;0
1373;Saint-Martin-du-Frêne;1033;7
1374;Saint-Martin-du-Mont;1899;0
1375;Saint-Martin-le-Châtel;781;0
1376;Saint-Maurice-de-Beynost;4155;3
1378;Saint-Maurice-de-Gourdans;2748;3
1379;Saint-Maurice-de-Rémens;756;0
1380;Saint-Nizier-le-Bouchoux;598;0
1381;Saint-Nizier-le-Désert;922;0
1382;Sainte-Olive;331;0
1383;Saint-Paul-de-Varax;1641;1
1384;Saint-Rambert-en-Bugey;2173;3
1385;Saint-Rémy;943;0
1386;Saint-Sorlin-en-Bugey;1125;1
1387;Saint-Sulpice;260;0
1388;Saint-Trivier-de-Courtes;1119;2
1389;Saint-Trivier-sur-Moignans;1857;1
1390;Saint-Vulbas;1234;1
1391;Salavre;284;0
1392;Samognat;660;0
1393;Sandrans;567;0
1396;Sault-Brénaz;997;0
1397;Sauverny;992;0
1398;Savigneux;1449;0
1399;Ségny;2412;0
1400;Seillonnaz;137;0
1401;Sergy;2218;0
1402;Sermoyer;648;0
1403;Serrières-de-Briord;1312;1
1404;Serrières-sur-Ain;134;0
1405;Servas;1270;0
1406;Servignat;175;0
1407;Seyssel;1001;1
1408;Simandre-sur-Suran;656;0
1410;Sonthonnax-la-Montagne;292;0
1411;Souclin;267;0
1412;Sulignat;608;0
1415;Talissieu;519;0
1416;Tenay;1013;1
1418;Thil;1156;1
1419;Thoiry;6136;2
1420;Thoissey;1655;1
1421;Torcieu;744;0
1422;Tossiat;1352;3
1423;Toussieux;1198;0
1424;Tramoyes;1843;0
1425;La Tranclière;286;0
1426;Val-Revermont;2500;2
1427;Trévoux;6947;12
1428;Valeins;131;0
1429;Vandeins;717;0
1430;Varambon;654;0
1431;Vaux-en-Bugey;1234;0
1432;Verjon;339;0
1433;Vernoux;301;0
1434;Versailleux;494;0
1435;Versonnex;2137;4
1436;Vesancy;502;0
1437;Vescours;219;0
1439;Vésines;98;0
1441;Vieu-d'Izenave;735;0
1443;Villars-les-Dombes;4954;10
1444;Villebois;1197;0
1445;Villemotier;617;0
1446;Villeneuve;1569;0
1447;Villereversure;1353;4
1448;Villes;400;0
1449;Villette-sur-Ain;762;0
1450;Villieu-Loyes-Mollon;3793;4
1451;Viriat;6808;3
1452;Virieu-le-Grand;1118;1
1453;Arvière-en-Valromey;713;1
1454;Virignin;1127;0
1456;Vongnes;71;0
1457;Vonnas;3216;2
2001;Abbécourt;507;0
2002;Achery;594;0
2003;Acy;1016;0
2004;Agnicourt-et-Séchelles;186;0
2005;Aguilcourt;393;0
2006;Aisonville-et-Bernoville;259;0
2007;Aizelles;120;0
2008;Aizy-Jouy;303;0
2009;Alaincourt;527;0
2010;Allemant;169;0
2011;Ambleny;1181;2
2012;Ambrief;78;0
2013;Amifontaine;387;0
2014;Amigny-Rouy;716;0
2015;Ancienville;76;0
2016;Andelain;212;0
2017;Anguilcourt-le-Sart;295;0
2018;Anizy-le-Grand;2549;3
2019;Annois;355;0
2020;Any-Martin-Rieux;455;0
2021;Archon;79;0
2022;Arcy-Sainte-Restitue;399;0
2023;Armentières-sur-Ourcq;99;0
2024;Arrancy;47;0
2025;Artemps;365;0
2027;Assis-sur-Serre;206;0
2028;Athies-sous-Laon;2601;3
2029;Attilly;348;0
2030;Aubencheul-aux-Bois;248;0
2031;Aubenton;660;0
2032;Aubigny-aux-Kaisnes;247;0
2033;Aubigny-en-Laonnois;101;0
2034;Audignicourt;116;0
2035;Audigny;281;0
2036;Augy;70;0
2037;Aulnois-sous-Laon;1369;0
2038;Les Autels;62;0
2039;Autremencourt;175;0
2040;Autreppes;176;0
2041;Autreville;805;0
2042;Azy-sur-Marne;375;0
2043;Bagneux;63;0
2044;Bancigny;25;0
2046;Barenton-Bugny;557;0
2047;Barenton-Cel;108;0
2048;Barenton-sur-Serre;130;0
2049;Barisis-aux-Bois;739;0
2050;Barzy-en-Thiérache;319;0
2051;Barzy-sur-Marne;392;0
2052;Bassoles-Aulers;129;0
2053;Vallées en Champagne;581;0
2054;Bazoches-et-Saint-Thibaut;524;0
2055;Beaumé;86;0
2056;Beaumont-en-Beine;176;0
2057;Beaurevoir;1368;1
2058;Beaurieux;832;1
2059;Beautor;2672;0
2060;Beauvois-en-Vermandois;252;0
2061;Becquigny;258;0
2062;Belleau;134;0
2063;Bellenglise;380;0
2064;Belleu;3693;2
2065;Bellicourt;574;0
2066;Benay;191;0
2067;Bergues-sur-Sambre;208;0
2068;Berlancourt;83;0
2069;Berlise;105;0
2070;Bernot;438;0
2071;Berny-Rivière;641;0
2072;Berrieux;180;0
2073;Berry-au-Bac;703;0
2074;Bertaucourt-Epourdon;587;0
2075;Berthenicourt;193;0
2076;Bertricourt;149;0
2078;Besmé;167;0
2079;Besmont;142;0
2080;Besny-et-Loizy;322;0
2081;Béthancourt-en-Vaux;428;0
2082;Beugneux;113;0
2083;Beuvardes;746;0
2084;Bézu-le-Guéry;252;0
2085;Bézu-Saint-Germain;991;0
2086;Bichancourt;996;0
2087;Bieuxy;34;0
2088;Bièvres;84;0
2089;Billy-sur-Aisne;1151;0
2090;Billy-sur-Ourcq;199;0
2091;Blanzy-lès-Fismes;92;0
2093;Blérancourt;1261;2
2094;Blesmes;471;0
2095;Bohain-en-Vermandois;5721;6
2096;Bois-lès-Pargny;191;0
2097;Boncourt;265;0
2098;Bonneil;377;0
2099;Bonnesvalyn;211;0
2100;Bony;139;0
2101;Bosmont-sur-Serre;178;0
2102;Bouconville-Vauclair;186;0
2103;Boué;1324;1
2104;Bouffignereux;96;0
2105;Bouresches;190;0
2106;Bourg-et-Comin;810;1
2107;Bourguignon-sous-Coucy;104;0
2108;Bourguignon-sous-Montbavin;152;0
2109;La Bouteille;472;0
2110;Braine;2237;5
2111;Brancourt-en-Laonnois;718;0
2112;Brancourt-le-Grand;556;0
2114;Brasles;1635;1
2115;Braye-en-Laonnois;183;0
2116;Braye-en-Thiérache;138;0
2117;Bray-Saint-Christophe;67;0
2118;Braye;130;0
2119;Brécy;319;0
2120;Brenelle;195;0
2121;Breny;228;0
2122;Brie;55;0
2123;Brissay-Choigny;298;0
2124;Brissy-Hamégicourt;653;0
2125;Brumetz;181;0
2126;Brunehamel;453;1
2127;Bruyères-sur-Fère;191;0
2128;Bruyères-et-Montbérault;1432;3
2129;Bruys;19;0
2130;Bucilly;200;0
2131;Bucy-le-Long;1882;1
2132;Bucy-lès-Cerny;189;0
2133;Bucy-lès-Pierrepont;401;0
2134;Buire;849;0
2135;Buironfosse;1136;1
2136;Burelles;124;0
2137;Bussiares;141;0
2138;Buzancy;192;0
2139;Caillouël-Crépigny;453;0
2140;Camelin;447;0
2141;La Capelle;1769;3
2142;Castres;249;0
2143;Le Catelet;185;0
2144;Caulaincourt;142;0
2145;Caumont;546;0
2146;Celles-lès-Condé;99;0
2148;Celles-sur-Aisne;255;0
2149;Cerizy;59;0
2150;Cerny-en-Laonnois;62;0
